
=====================================================================
 Run #0 / Number of event processed : 1000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
   11600|             844.543          1.904e-18              0.061
   11700|           11513.363          2.113e-18              0.018
   11800|            2171.588          3.301e-18              0.029
   11900|            7795.948          2.380e-18              0.020
   12000|              35.880          4.794e-19              0.412
   12100|              35.880          1.926e-18              0.241
   12200|             155.582          2.681e-18              0.118
   12201|               6.324          2.248e-18              0.365
   12300|             871.603          3.029e-18              0.039
   12301|              32.368          4.555e-18              0.147
   12400|             380.905          5.023e-18              0.047
   12401|              15.598          7.318e-18              0.148
   12500|             924.584          3.104e-18              0.046
   12501|              35.025          5.433e-18              0.135
   12600|              19.098          1.002e-18              0.454
   12700|             187.400          6.382e-19              0.207
   12800|              40.562          3.926e-18              0.261
   12801|               0.036          0.000e+00              1.000
   13100|              20.503          2.133e-18              0.370
   13200|              19.455          2.373e-19              0.677
   13300|              20.995          3.307e-18              0.397
   13301|              40.415          2.641e-18              0.224
   13400|               3.075          0.000e+00              1.000
   13500|               7.689          3.194e-19              0.617
   13600|               7.689          4.196e-18              0.386
   13700|              39.459          2.756e-18              0.219
   13701|               1.345          2.217e-18              0.712
   13800|             200.000          1.321e-18              0.153
   13900|              81.993          1.348e-18              0.206
   14000|               0.036          0.000e+00              1.000
=====================================================================

